value,date
529,2016-03-11 17:20:10 -0300
158,2016-03-11 17:25:11 -0300
346,2016-03-11 17:30:57 -0300
742,2016-03-11 17:36:04 -0300
233,2016-03-11 17:41:08 -0300
71,2016-03-11 18:01:40 -0300
70,2016-03-11 18:22:58 -0300
8,2016-03-11 19:48:47 -0300
72,2016-03-11 19:58:06 -0300
29,2016-03-11 20:45:19 -0300
18,2016-03-11 20:51:14 -0300
13,2016-03-11 23:22:11 -0300
192,2016-03-12 14:40:13 -0300
28,2016-03-12 14:45:17 -0300
893,2016-03-12 15:15:05 -0300
94,2016-03-12 15:20:07 -0300
48,2016-03-12 15:32:29 -0300
785,2016-03-12 15:45:06 -0300
117,2016-03-12 15:50:25 -0300
173,2016-03-12 16:09:01 -0300
32,2016-03-12 16:24:36 -0300
80,2016-03-12 16:29:42 -0300
137,2016-03-12 16:35:17 -0300
112,2016-03-12 17:01:50 -0300
18,2016-03-12 17:06:53 -0300
54,2016-03-13 11:50:20 -0300
166,2016-03-13 11:56:08 -0300
80,2016-03-13 11:59:51 -0300
9,2016-03-13 12:33:02 -0300
29,2016-03-13 12:43:27 -0300
36,2016-03-13 12:47:44 -0300
23,2016-03-13 12:58:00 -0300
23,2016-03-13 13:13:30 -0300
28,2016-03-13 13:24:05 -0300
63,2016-03-13 13:30:27 -0300
92,2016-03-13 14:15:40 -0300
105,2016-03-13 14:33:44 -0300
21,2016-03-13 14:36:14 -0300
141,2016-03-13 14:41:18 -0300
61,2016-03-13 15:02:15 -0300
38,2016-03-13 20:03:15 -0300
65,2016-03-13 20:11:52 -0300
58,2016-03-13 20:28:39 -0300
23,2016-03-14 07:18:13 -0300
68,2016-03-14 07:24:44 -0300
134,2016-03-14 08:07:27 -0300
288,2016-03-14 12:00:47 -0300
396,2016-03-14 12:05:54 -0300
68,2016-03-14 12:10:55 -0300
138,2016-03-14 12:15:02 -0300
438,2016-03-14 12:20:06 -0300
31,2016-03-14 12:25:11 -0300
485,2016-03-14 18:03:36 -0300
293,2016-03-14 18:14:30 -0300
442,2016-03-14 18:29:06 -0300
426,2016-03-14 18:34:11 -0300
576,2016-03-14 18:39:12 -0300
91,2016-03-14 18:44:16 -0300
157,2016-03-14 18:59:50 -0300
200,2016-03-14 20:28:54 -0300
56,2016-03-14 20:34:38 -0300
297,2016-03-14 20:43:58 -0300
17,2016-03-14 20:47:14 -0300
209,2016-03-14 21:36:29 -0300
52,2016-03-14 21:41:26 -0300
104,2016-03-14 21:46:27 -0300
31,2016-03-14 21:55:49 -0300
412,2016-03-14 22:09:57 -0300
8,2016-03-14 22:26:18 -0300
552,2016-03-15 08:03:55 -0300
24,2016-03-15 08:09:17 -0300
337,2016-03-15 08:14:35 -0300
290,2016-03-15 08:28:22 -0300
589,2016-03-15 08:33:28 -0300
501,2016-03-15 08:38:28 -0300
173,2016-03-15 08:53:38 -0300
8,2016-03-15 09:03:03 -0300
266,2016-03-15 10:42:15 -0300
151,2016-03-15 11:06:58 -0300
196,2016-03-15 11:56:57 -0300
306,2016-03-15 12:42:00 -0300
558,2016-03-15 12:51:02 -0300
337,2016-03-15 12:56:06 -0300
107,2016-03-15 13:01:45 -0300
297,2016-03-15 13:15:30 -0300
12,2016-03-15 13:47:44 -0300
236,2016-03-15 14:50:21 -0300
52,2016-03-15 15:04:15 -0300
32,2016-03-15 15:15:15 -0300
50,2016-03-15 15:18:25 -0300
52,2016-03-15 15:23:28 -0300
16,2016-03-15 15:26:49 -0300
13,2016-03-15 15:32:38 -0300
8,2016-03-15 15:39:36 -0300
27,2016-03-15 15:48:38 -0300
29,2016-03-15 16:03:28 -0300
11,2016-03-15 16:11:33 -0300
15,2016-03-15 16:17:12 -0300
49,2016-03-15 16:23:06 -0300
26,2016-03-15 16:43:32 -0300
117,2016-03-15 16:59:28 -0300
146,2016-03-15 17:04:29 -0300
450,2016-03-15 17:23:13 -0300
222,2016-03-15 17:28:15 -0300
100,2016-03-15 17:33:59 -0300
584,2016-03-15 17:50:01 -0300
629,2016-03-15 17:55:03 -0300
742,2016-03-15 18:00:11 -0300
495,2016-03-15 18:05:21 -0300
477,2016-03-15 18:10:21 -0300
535,2016-03-15 18:15:21 -0300
574,2016-03-15 18:20:22 -0300
401,2016-03-15 18:25:31 -0300
372,2016-03-15 18:51:25 -0300
14,2016-03-15 19:45:09 -0300
8,2016-03-15 20:00:56 -0300
12,2016-03-15 20:32:57 -0300
11,2016-03-15 20:42:56 -0300
495,2016-03-15 21:52:50 -0300
531,2016-03-15 21:57:52 -0300
564,2016-03-15 22:02:53 -0300
456,2016-03-15 22:07:55 -0300
82,2016-03-15 22:13:12 -0300
38,2016-03-16 08:04:19 -0300
555,2016-03-16 08:10:17 -0300
58,2016-03-16 08:15:19 -0300
221,2016-03-16 08:25:35 -0300
632,2016-03-16 08:38:41 -0300
592,2016-03-16 08:43:46 -0300
217,2016-03-16 08:48:48 -0300
98,2016-03-16 11:37:31 -0300
39,2016-03-16 11:59:34 -0300
14,2016-03-16 12:22:19 -0300
10,2016-03-16 12:29:18 -0300
390,2016-03-16 13:09:23 -0300
117,2016-03-16 13:14:26 -0300
20,2016-03-16 14:39:24 -0300
54,2016-03-16 14:58:38 -0300
436,2016-03-16 15:08:37 -0300
147,2016-03-16 15:14:31 -0300
130,2016-03-16 17:30:13 -0300
109,2016-03-16 17:49:53 -0300
153,2016-03-16 18:08:10 -0300
117,2016-03-16 18:35:46 -0300
16,2016-03-16 18:38:40 -0300
95,2016-03-16 19:06:54 -0300
31,2016-03-16 19:12:20 -0300
244,2016-03-16 20:13:29 -0300
181,2016-03-16 20:18:34 -0300
190,2016-03-16 20:23:35 -0300
208,2016-03-16 20:37:22 -0300
18,2016-03-16 20:41:03 -0300
554,2016-03-16 20:46:24 -0300
36,2016-03-16 20:51:26 -0300
27,2016-03-16 21:05:31 -0300
55,2016-03-17 07:59:14 -0300
305,2016-03-17 08:02:48 -0300
286,2016-03-17 08:07:48 -0300
329,2016-03-17 08:18:28 -0300
606,2016-03-17 08:33:51 -0300
511,2016-03-17 08:38:53 -0300
160,2016-03-17 08:43:55 -0300
8,2016-03-17 09:09:49 -0300
174,2016-03-17 09:52:10 -0300
19,2016-03-17 10:02:51 -0300
89,2016-03-17 10:42:19 -0300
142,2016-03-17 11:36:15 -0300
15,2016-03-17 11:37:58 -0300
161,2016-03-17 11:42:48 -0300
197,2016-03-17 13:00:06 -0300
12,2016-03-17 13:13:23 -0300
499,2016-03-17 13:37:35 -0300
588,2016-03-17 13:42:35 -0300
629,2016-03-17 13:47:37 -0300
134,2016-03-17 13:52:40 -0300
26,2016-03-17 14:06:45 -0300
146,2016-03-17 19:59:08 -0300
129,2016-03-17 20:58:56 -0300
8,2016-03-17 21:23:42 -0300
549,2016-03-18 08:08:04 -0300
59,2016-03-18 08:13:08 -0300
384,2016-03-18 08:18:23 -0300
614,2016-03-18 08:32:57 -0300
606,2016-03-18 08:37:59 -0300
172,2016-03-18 08:43:01 -0300
538,2016-03-18 11:39:17 -0300
339,2016-03-18 11:44:18 -0300
17,2016-03-18 12:05:29 -0300
453,2016-03-18 12:26:59 -0300
137,2016-03-18 12:32:00 -0300
10,2016-03-18 13:36:49 -0300
413,2016-03-18 13:55:56 -0300
456,2016-03-18 14:01:19 -0300
339,2016-03-18 14:06:25 -0300
420,2016-03-18 17:23:09 -0300
578,2016-03-18 17:28:09 -0300
291,2016-03-18 17:33:11 -0300
352,2016-03-18 17:38:53 -0300
95,2016-03-18 17:43:55 -0300
65,2016-03-18 18:43:19 -0300
494,2016-03-18 19:09:47 -0300
621,2016-03-18 19:14:53 -0300
486,2016-03-18 19:19:55 -0300
7,2016-03-18 19:25:03 -0300
32,2016-03-18 19:40:32 -0300
64,2016-03-18 19:51:22 -0300
23,2016-03-19 13:47:52 -0300
181,2016-03-20 11:54:52 -0300
190,2016-03-20 12:00:26 -0300
84,2016-03-20 12:05:10 -0300
227,2016-03-20 12:10:34 -0300
130,2016-03-20 12:15:35 -0300
37,2016-03-20 13:30:35 -0300
67,2016-03-20 13:34:25 -0300
