date,value
2015-6-19,2.0294699999999994
2015-6-2,7.1529300000000005
2015-6-20,0.20277000000000003
2015-6-21,0.7057899999999998
2015-6-22,5.40456
2015-6-23,3.3768700000000003
2015-6-24,3.02845
2015-6-25,0.6936599999999999
2015-6-26,1.5626399999999998
2015-6-27,0.1162
2015-6-28,0.15774000000000005
2015-6-29,5.01173
2015-6-3,6.767050000000002
2015-6-30,3.24026
2015-6-4,5.6902
2015-6-5,0.00975
2015-6-6,0.47559000000000007
2015-6-7,0.55449
2015-6-8,5.65275
2015-6-9,0.20595000000000002
2015-7-1,4.01874
2015-7-10,3.7992700000000013
2015-7-11,0.45790000000000003
2015-7-12,0.27456
2015-7-13,6.02498
2015-7-14,3.7475700000000005
2015-7-15,2.79902
2015-7-16,3.24627
2015-7-17,0.23205
